time_s,ee_x,ee_y,ee_z,error_true_m,error_measured_m
0.005,0.3913614999999999,-0.0009794652485835562,0.24634517669302677,0.14384592968467252,0.14384592968467252
0.01,0.39118524632088847,-0.0004429779105706782,0.24587025981254082,0.14320482426725187,0.14384592968467252
0.015,0.39084352943904965,0.0005943356987963139,0.2449586576342347,0.14196941160820317,0.14384592968467252
0.02,0.3903407499014585,0.002098975037658248,0.2436446880336477,0.14018174123254915,0.14384592968467252
0.025,0.38968117324048723,0.003236454226312101,0.24254061506176625,0.13862034682657612,0.14018174123254915
0.030000000000000002,0.38887447665124086,0.004833607167679815,0.24104889783161276,0.13652958264763582,0.14018174123254915
0.035,0.38792137380095904,0.006654740846226568,0.2391990910354287,0.13408979870048623,0.14018174123254915
0.04,0.3869260194093045,0.007796094066160306,0.23843819420755274,0.13242049650163937,0.14018174123254915
0.045,0.38629408059555936,0.008335738307183071,0.23793166001000424,0.1314831397884789,0.13242049650163937
0.049999999999999996,0.38549507080508355,0.009371022033288457,0.23699602242894305,0.12996816708263526,0.13242049650163937
0.05499999999999999,0.3845328273927204,0.010866524056242003,0.23566375728574213,0.12791590606550957,0.13242049650163937
0.05999999999999999,0.38346557313050506,0.01226506001172609,0.23450850152454628,0.12591567920723507,0.13242049650163937
0.06499999999999999,0.3827816977116393,0.013028714031169428,0.23364151068820072,0.12469388637971653,0.12591567920723507
0.06999999999999999,0.38191189296731365,0.014269101685101452,0.23236781432277276,0.12291062012455073,0.12591567920723507
0.075,0.3808591320894158,0.015950874867668823,0.23071825697525167,0.12060707271699059,0.12591567920723507
0.08,0.37974852939616766,0.017361250053633624,0.22964284667046736,0.11860729021556106,0.12591567920723507
0.085,0.3790422774432982,0.018140123586918303,0.22884791431461737,0.11739217669884074,0.11860729021556106
0.09000000000000001,0.37812959271326246,0.019389583058309748,0.22764016012152694,0.11561250377271944,0.11860729021556106
0.09500000000000001,0.3770156447538131,0.02107384009490837,0.2260509539488848,0.11331107825740849,0.11860729021556106
0.10000000000000002,0.3758468294577508,0.022522311797233845,0.22496053774878666,0.11125898684037522,0.11860729021556106
0.10500000000000002,0.3750163108355997,0.023334417362738176,0.22434254640823575,0.10998917227678029,0.11125898684037522
0.11000000000000003,0.37396758261440366,0.02460855324396747,0.22330233147622555,0.10815762651803253,0.11125898684037522
0.11500000000000003,0.37270746317378656,0.026308502469765307,0.221871478224285,0.10580724724295348,0.11125898684037522
0.12000000000000004,0.371419789672128,0.02778281321128121,0.22101033809182927,0.10371857466828532,0.11125898684037522
0.12500000000000003,0.3705846422078885,0.028631852700679375,0.2204347671352083,0.10243624296323715,0.10371857466828532
0.13000000000000003,0.36951088727968784,0.02993335841547092,0.21943264334714024,0.10059187512320011,0.10371857466828532
0.13500000000000004,0.3682073575045966,0.03165087223393863,0.21803590317409327,0.09823003963883198,0.10371857466828532
0.14000000000000004,0.36687385297936764,0.03315997588678607,0.2171427772475488,0.09609149726963451,0.10371857466828532
0.14500000000000005,0.36601230856386074,0.034047834131477196,0.2165401485469305,0.0947675555168225,0.09609149726963451
0.15000000000000005,0.36489370704346635,0.035377346999068686,0.2155116667671201,0.09288644842287916,0.09609149726963451
0.15500000000000005,0.36352841222236987,0.03711181872067527,0.21408924359735285,0.09049469205020876,0.09609149726963451
0.16000000000000006,0.3621475285075053,0.03865167920491375,0.21321238223203842,0.0883204325635551,0.09609149726963451
0.16500000000000006,0.3612580157929354,0.039575416666890094,0.21262781373963757,0.08696629490619025,0.0883204325635551
0.17000000000000007,0.36009343314357917,0.04092911562597576,0.2116154988375173,0.08506180048033034,0.0883204325635551
0.17500000000000007,0.35866586822280877,0.042675930734330625,0.21020745273690394,0.0826554602121805,0.0883204325635551
0.18000000000000008,0.35723338917513203,0.04424488811854388,0.20936275046669928,0.08044845824307319,0.0883204325635551
0.18500000000000008,0.3563116852417762,0.04520377971690817,0.20881123533820406,0.07906497024768439,0.08044845824307319
0.19000000000000009,0.3550977303951638,0.04657989153238379,0.20782934330767866,0.07714121142437116,0.08044845824307319
0.1950000000000001,0.35360535405619054,0.048336306274332615,0.20644920153530136,0.07472792940602624,0.08044845824307319
0.2000000000000001,0.35212014097636524,0.049931584203970654,0.20565713705624106,0.07249385184547283,0.08044845824307319
0.2050000000000001,0.3511648251569788,0.05092387584174123,0.20515794733352852,0.07108382176301788,0.07249385184547283
0.2100000000000001,0.34990084579640673,0.05231969495891727,0.20422457461402452,0.06914732771898655,0.07249385184547283
0.2150000000000001,0.34834382629044935,0.05408214451170748,0.20288929939911024,0.06673771830129165,0.07249385184547283
0.2200000000000001,0.3468059759760379,0.05570087758393877,0.20216765824953353,0.06448186083069711,0.07249385184547283
0.22500000000000012,0.3458166745098481,0.056724730046064216,0.2017376066849574,0.06304709295216546,0.06448186083069711
0.23000000000000012,0.34450311770409936,0.058137504299610704,0.20086843664845785,0.061104420575457716,0.06448186083069711
0.23500000000000013,0.3428827629311079,0.059902423224356974,0.19959262277373266,0.058710416248640866,0.06448186083069711
0.24000000000000013,0.34129391625111527,0.061541256145773264,0.19895963846358433,0.05643885939958035,0.06448186083069711
0.24500000000000013,0.3402715933096209,0.06259436281582238,0.19861599903497426,0.054980891039715145,0.05643885939958035
0.2500000000000001,0.33891026770723653,0.06402096168264915,0.19782702001332925,0.053039814981885904,0.05643885939958035
0.2550000000000001,0.3372292757135552,0.06578450644084509,0.19662542440819833,0.05067649090137623,0.05643885939958035
0.2600000000000001,0.3355925502038019,0.06743942517366124,0.19610067085219238,0.04839654358355262,0.05643885939958035
0.2650000000000001,0.33453942640435647,0.06851884186702202,0.1958620292636781,0.04691650131403854,0.04839654358355262
0.27000000000000013,0.3331334227148659,0.06995562261686035,0.1951703383210659,0.04498681968171867,0.04839654358355262
0.27500000000000013,0.3313958062232954,0.07171357532134187,0.19405863948753366,0.04267456191047787,0.04839654358355262
0.28000000000000014,0.3297415506359659,0.07338599399881149,0.19378997746525334,0.040390958512333965,0.04839654358355262
0.28500000000000014,0.32861328051524064,0.07447439188688865,0.19397173524186198,0.038815157701369646,0.040390958512333965
0.29000000000000015,0.32712384322195653,0.07590462091136767,0.19367284998842696,0.03682829064487147,0.040390958512333965
0.29500000000000015,0.3252973197661792,0.07764119286356823,0.19292739580217697,0.03449481662591553,0.040390958512333965
0.30000000000000016,0.32353062323899834,0.07929296316201823,0.1928534414472914,0.032148793193096936,0.040390958512333965
0.30500000000000016,0.322381301585542,0.08039395562872209,0.1930473989340078,0.03055582265517229,0.032148793193096936
0.31000000000000016,0.3208601698994439,0.0818206334587655,0.19275648168155196,0.02860252809987107,0.032148793193096936
0.31500000000000017,0.31899280820886594,0.08353794340723879,0.19201503084053972,0.026372064830035034,0.032148793193096936
0.3200000000000002,0.31720860619672614,0.0852065284132324,0.19210104178293907,0.024028659341240342,0.032148793193096936
0.3250000000000002,0.31605247316336427,0.08633589780797817,0.1924504961966939,0.022391618767982804,0.024028659341240342
0.3300000000000002,0.31451303495726646,0.08777283273494642,0.19230185158265886,0.020479094024244544,0.024028659341240342
0.3350000000000002,0.31261794250894004,0.08948311037713817,0.19169013344038452,0.018408457913062438,0.024028659341240342
0.3400000000000002,0.31081576334278027,0.09114595639676032,0.1919349272071858,0.016137540827786966,0.024028659341240342
0.3450000000000002,0.3096514992824322,0.09228336890801778,0.1924381145437681,0.014487233878891706,0.016137540827786966
0.3500000000000002,0.30809422797804964,0.09371138175473005,0.1924290268015384,0.012742954177395759,0.016137540827786966
0.3550000000000002,0.30622905839428816,0.09541719660074009,0.19225294490083333,0.010946237626931206,0.016137540827786966
0.3600000000000002,0.3044823810435858,0.09702989119922045,0.192963711268543,0.008855656114641912,0.016137540827786966
0.3650000000000002,0.3032426437393691,0.09808319524251631,0.19419382187301978,0.006921024732003595,0.008855656114641912
0.3700000000000002,0.30168785530025843,0.09944555757918057,0.1953515231203567,0.004976404245355586,0.008855656114641912
0.3750000000000002,0.30031949016548587,0.1004144764595169,0.19706650801064862,0.0029798053548721307,0.008855656114641912
0.3800000000000002,0.29952232073519286,0.10092025544317385,0.1987546450771142,0.001620480312954667,0.008855656114641912
0.38500000000000023,0.29923082794283984,0.10101202517389365,0.20031267039987266,0.0013090391075391793,0.001620480312954667
0.39000000000000024,0.29913896109982135,0.10086636259652652,0.20160146114115982,0.0020141126887356295,0.001620480312954667
0.39500000000000024,0.2992259540608578,0.10062658143510661,0.20216837975656782,0.0023861312158839584,0.001620480312954667
0.40000000000000024,0.29940804446451474,0.10044037662708108,0.20195130680446818,0.0020861306706040053,0.001620480312954667
0.40500000000000025,0.2995550261099784,0.10035738564061884,0.20129343309110634,0.0014137522484828577,0.0020861306706040053
0.41000000000000025,0.2997885943439627,0.10020284027755237,0.2003485848791049,0.0004553547491161589,0.0020861306706040053
0.41500000000000026,0.2999705017100905,0.10007068221808967,0.19956078088856655,0.00044584700616922526,0.0020861306706040053
0.42000000000000026,0.3000435489748265,0.10000575446746374,0.19919120377654057,0.0008099882457088451,0.0020861306706040053
0.42500000000000027,0.3000081860420059,0.10001775654674327,0.19926263766794314,0.0007376215255619371,0.0008099882457088451
0.43000000000000027,0.2999801665508922,0.10002363680755866,0.1993694553074129,0.0006312991950928243,0.0008099882457088451
0.4350000000000003,0.299964922113382,0.10002801390611737,0.1994708536520273,0.00053104716799772,0.0008099882457088451
0.4400000000000003,0.29996472326082124,0.10003231322197054,0.19953186929340141,0.00047056875278932744,0.0008099882457088451
0.4450000000000003,0.29997417423908823,0.10003419776541733,0.19953809522577032,0.0004638884322144644,0.00047056875278932744
0.4500000000000003,0.29998739001729813,0.10003471457830868,0.19954508993347686,0.0004564069261470378,0.00047056875278932744
0.4550000000000003,0.29999787543808953,0.1000343654001036,0.19955313608788283,0.00044818840953360416,0.00047056875278932744
0.4600000000000003,0.3000044103536834,0.10003353055999845,0.19955202321698318,0.0004492515417842593,0.00047056875278932744
0.4650000000000003,0.30000726004939,0.10003207261534047,0.19954633766031304,0.00045485259087112547,0.0004492515417842593
0.4700000000000003,0.3000095677913115,0.10003070207044319,0.19954021810688463,0.00046090514099632394,0.0004492515417842593
0.4750000000000003,0.30001122134312963,0.1000293581496732,0.19953625301497094,0.0004648108062614535,0.0004492515417842593
0.4800000000000003,0.3000123718456451,0.10002807692892196,0.19953377151665247,0.0004672369582844492,0.0004492515417842593
0.4850000000000003,0.30001314139560276,0.10002688121533194,0.19953229800007105,0.00046865814487071427,0.0004672369582844492
0.4900000000000003,0.3000139811181269,0.1000257942266562,0.19952999419283424,0.00047092066482839757,0.0004672369582844492
0.49500000000000033,0.3000145699568807,0.10002471852561888,0.1995283003116265,0.0004725715661822552,0.0004672369582844492
0.5000000000000003,0.3000149869360379,0.10002369684599025,0.19952736984413233,0.00047346109977188037,0.0004672369582844492
0.5050000000000003,0.30001527006501755,0.10002274713302316,0.19952694448011607,0.00047384821603450145,0.00047346109977188037
0.5100000000000003,0.3000158090936329,0.10002192797397752,0.19952611329483025,0.0004746571107872569,0.00047346109977188037
0.5150000000000003,0.30001618345961306,0.10002110650462404,0.19952564589512828,0.0004750991535576072,0.00047346109977188037
0.5200000000000004,0.3000164343699735,0.10002031445017658,0.1995255085309364,0.00047521039510573605,0.00047346109977188037
0.5250000000000004,0.30001658853318597,0.1000195693176126,0.19952556657657966,0.0004751265209219949,0.00047521039510573605
